originAirportCode,destinationAirportCode,routeConnectionPolicy,directBaseDurationMinutes,oneStopBaseDurationMinutes,enabled,displayOrder
ICN,NRT,DIRECT_ONLY,150,,true,1
GMP,HND,DIRECT_ONLY,135,,true,2
ICN,KIX,DIRECT_ONLY,110,,true,3
ICN,FUK,DIRECT_ONLY,85,,true,4
ICN,CTS,DIRECT_ONLY,160,,true,5
ICN,NGO,DIRECT_ONLY,115,,true,6
ICN,OKA,DIRECT_ONLY,140,,true,7
ICN,PVG,DIRECT_ONLY,125,,true,8
ICN,PEK,DIRECT_ONLY,135,,true,9
ICN,PKX,DIRECT_ONLY,140,,true,10
ICN,CAN,DIRECT_ONLY,220,,true,11
ICN,SZX,DIRECT_ONLY,230,,true,12
ICN,TPE,DIRECT_ONLY,160,,true,13
GMP,TSA,DIRECT_ONLY,150,,true,14
ICN,HKG,DIRECT_ONLY,230,,true,15
ICN,SGN,DIRECT_ONLY,315,,true,16
ICN,HAN,DIRECT_ONLY,285,,true,17
ICN,DAD,DIRECT_ONLY,300,,true,18
ICN,BKK,DIRECT_ONLY,360,,true,19
ICN,DMK,DIRECT_ONLY,360,,true,20
ICN,HKT,DIRECT_ONLY,390,,true,21
ICN,KUL,DIRECT_ONLY,400,,true,22
ICN,SIN,DIRECT_ONLY,390,,true,23
ICN,MNL,DIRECT_ONLY,250,,true,24
ICN,CEB,DIRECT_ONLY,270,,true,25
ICN,CRK,DIRECT_ONLY,245,,true,26
ICN,DPS,DIRECT_AND_ONE_STOP,430,620,true,27
ICN,CGK,DIRECT_AND_ONE_STOP,430,620,true,28
ICN,SYD,DIRECT_AND_ONE_STOP,630,850,true,29
ICN,MEL,DIRECT_AND_ONE_STOP,650,880,true,30
ICN,BNE,DIRECT_AND_ONE_STOP,590,830,true,31
ICN,AKL,DIRECT_AND_ONE_STOP,690,930,true,32
ICN,JFK,DIRECT_AND_ONE_STOP,840,1080,true,33
ICN,LAX,DIRECT_AND_ONE_STOP,660,900,true,34
ICN,SFO,DIRECT_AND_ONE_STOP,630,870,true,35
ICN,SEA,DIRECT_AND_ONE_STOP,610,840,true,36
ICN,ORD,DIRECT_AND_ONE_STOP,790,1050,true,37
ICN,YVR,DIRECT_AND_ONE_STOP,590,820,true,38
ICN,YYZ,DIRECT_AND_ONE_STOP,790,1050,true,39
ICN,YUL,DIRECT_AND_ONE_STOP,,1080,true,40
ICN,YYC,DIRECT_AND_ONE_STOP,,930,true,41
ICN,LHR,DIRECT_AND_ONE_STOP,840,1080,true,42
ICN,LGW,DIRECT_AND_ONE_STOP,,1080,true,43
ICN,MAN,DIRECT_AND_ONE_STOP,,1050,true,44
ICN,CDG,DIRECT_AND_ONE_STOP,840,1080,true,45
ICN,ORY,DIRECT_AND_ONE_STOP,,1080,true,46
ICN,NCE,DIRECT_AND_ONE_STOP,,1080,true,47
ICN,FRA,DIRECT_AND_ONE_STOP,820,1050,true,48
ICN,MUC,DIRECT_AND_ONE_STOP,830,1060,true,49
ICN,BER,DIRECT_AND_ONE_STOP,,1060,true,50
ICN,FCO,DIRECT_AND_ONE_STOP,780,1040,true,51
ICN,MXP,DIRECT_AND_ONE_STOP,,1040,true,52
ICN,VCE,DIRECT_AND_ONE_STOP,,1060,true,53
ICN,MAD,DIRECT_AND_ONE_STOP,830,1080,true,54
ICN,BCN,DIRECT_AND_ONE_STOP,820,1070,true,55
ICN,AMS,DIRECT_AND_ONE_STOP,820,1050,true,56
ICN,ZRH,DIRECT_AND_ONE_STOP,820,1050,true,57
ICN,GVA,DIRECT_AND_ONE_STOP,,1060,true,58
ICN,VIE,DIRECT_AND_ONE_STOP,800,1040,true,59
ICN,ATH,DIRECT_AND_ONE_STOP,,1020,true,60
ICN,LIS,ONE_STOP_ONLY,,1200,true,61
ICN,OPO,ONE_STOP_ONLY,,1220,true,62
ICN,FAO,ONE_STOP_ONLY,,1240,true,63
ICN,ARN,ONE_STOP_ONLY,,1050,true,64
ICN,OSL,ONE_STOP_ONLY,,1080,true,65
ICN,CPH,ONE_STOP_ONLY,,1050,true,66
ICN,DXB,DIRECT_AND_ONE_STOP,600,780,true,67
ICN,AUH,DIRECT_AND_ONE_STOP,600,780,true,68
